Eng. No.,Eng. Description,Eng. Phase,Phase Description,Client No.,Client Name,Personnel No.,Employee Name,Staff Level,Work Date,Time Entry Date,Posting Date,Hours,Charge-Out Rate,Std. Price,Adm. Surcharge
2001920365,Neptune,10,Mars,1000017023,Company X,00014523,Alice Dupont,SPECIALIST/SENIOR CONSULT,2024-12-05 14:16:07,2024-12-06 14:16:07,2024-12-06 14:16:07,1.0,210,210,12.6
2001920365,Neptune,10,Mars  ,1000017023,Company X,00014523,Alice Dupont,SPECIALIST/SENIOR CONSULT,2024-12-06 14:16:07,2024-12-06 14:16:07,2024-12-06 14:16:07,2.5,210,525,12.6
2001920365,Neptune,10,Mars  ,1000017023,Company X,00014523,Alice Dupont,SPECIALIST/SENIOR CONSULT,2025-01-10 14:16:07,2025-01-10 14:16:07,2025-01-10 14:16:07,4.0,210,840,12.6
2001920365,Neptune,10,Mars  ,1000017023,Company X,00014523,Alice Dupont,SPECIALIST/SENIOR CONSULT,2025-01-09 14:16:07,2025-01-10 14:16:07,2025-01-10 14:16:07,2.0,210,420,12.6
2001920365,Neptune,10,Mars  ,1000017023,Company X,00014523,Alice Dupont,SPECIALIST/SENIOR CONSULT,2025-01-08 14:16:07,2025-01-08 14:16:07,2025-01-08 14:16:07,2.0,210,420,12.6
2001920365,Neptune,10,Mars  ,1000017023,Company X,00014523,Alice Dupont,SPECIALIST/SENIOR CONSULT,2024-12-03 14:16:07,2024-12-20 14:16:07,2024-12-20 14:16:07,-4.0,210,-840,12.6
2001920365,Neptune,10,Mars  ,1000017023,Company X,00014523,Alice Dupont,SPECIALIST/SENIOR CONSULT,2024-12-04 14:16:07,2024-12-20 14:16:07,2024-12-20 14:16:07,-1.0,210,-210,12.6
2001920365,Neptune,10,Mars  ,1000017023,Company X,00014523,Alice Dupont,SPECIALIST/SENIOR CONSULT,2024-12-05 14:16:07,2024-12-20 14:16:07,2024-12-20 14:16:07,-1.0,210,-210,12.6
2001920365,Neptune,10,Mars  ,1000017023,Company X,00014523,Alice Dupont,SPECIALIST/SENIOR CONSULT,2024-12-06 14:16:07,2024-12-20 14:16:07,2024-12-20 14:16:07,-2.5,210,-525,12.6
2001920365,Neptune,10,Mars  ,1000017023,Company X,00014523,Alice Dupont,SPECIALIST/SENIOR CONSULT,2024-12-11 14:16:07,2024-12-13 14:16:07,2024-12-13 14:16:07,0.5,210,105,12.6
2001920365,Neptune,10,Mars  ,1000017023,Company X,00014523,Alice Dupont,SPECIALIST/SENIOR CONSULT,2024-12-06 14:16:07,2024-12-20 14:16:07,2024-12-20 14:16:07,3.5,210,735,12.6
2001920365,Neptune,10,Mars  ,1000017023,Company X,00014523,Alice Dupont,SPECIALIST/SENIOR CONSULT,2024-12-05 14:16:07,2024-12-20 14:16:07,2024-12-20 14:16:07,4.0,210,840,12.6
2001920365,Neptune,10,Mars  ,1000017023,Company X,00014523,Alice Dupont,SPECIALIST/SENIOR CONSULT,2024-12-04 14:16:07,2024-12-20 14:16:07,2024-12-20 14:16:07,3.0,210,630,12.6
